movie_id,title,genres,overview
1,The Matrix,Action|Sci-Fi,A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
2,Inception,Action|Sci-Fi|Thriller,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.
3,Interstellar,Sci-Fi|Drama|Adventure,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
4,Avatar,Action|Adventure|Sci-Fi,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.
5,The Dark Knight,Action|Crime|Drama,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
6,Iron Man,Action|Sci-Fi|Adventure,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil."
7,Blade Runner 2049,Sci-Fi|Thriller|Mystery,"A new blade runner, LAPD Officer K, unearths a long-buried secret that has the potential to plunge what's left of society into chaos."
8,The Notebook,Romance|Drama,"A poor and passionate young man falls in love with a rich young woman, giving her a sense of freedom, but they are soon separated because of their social differences."
9,Pride & Prejudice,Romance|Drama,"Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class."
10,La La Land,Romance|Drama|Musical,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."
11,Titanic,Romance|Drama,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic."
12,The Fault in Our Stars,Romance|Drama,Two teenage cancer patients begin a life-affirming journey to visit a reclusive author in Amsterdam.
13,Before Sunrise,Romance|Drama,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. However, they both know this will probably be their only night together."
14,The Hangover,Comedy,"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing."
15,Superbad,Comedy,Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-filled party goes awry.
16,Dumb and Dumber,Comedy,"After a woman leaves a briefcase at the airport terminal, two extremely stupid friends go on a road trip to Aspen to return it."
17,Anchorman: The Legend of Ron Burgundy,Comedy,"Ron Burgundy is San Diego's top-rated newsman in the male-dominated 1970s broadcast journalism, but that's all about to change for Ron and his cronies when a new female anchor arrives."
18,Se7en,Crime|Mystery|Thriller,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
19,Shutter Island,Mystery|Thriller,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane."
20,Pulp Fiction,Crime|Drama,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
